
Run from 2021-12-22 13:52:04.293872
Results of Grid Search for linear_regression and fasttext:
Order of Params: optimizer, learning_rate, batch_size, epochs, hidden_layers, activation

('adam', 0.001, 10, 50)
train_loss: 1.394020676612854, val_loss: 1.4287697076797485

('adam', 0.001, 10, 100)
train_loss: 1.392060399055481, val_loss: 1.4283857345581055

('adam', 0.001, 10, 150)
train_loss: 1.390179991722107, val_loss: 1.4279770851135254

('adam', 0.001, 10, 200)
train_loss: 1.3882948160171509, val_loss: 1.427613615989685

('adam', 0.001, 50, 50)
train_loss: 1.394993782043457, val_loss: 1.4289237260818481

('adam', 0.001, 50, 100)
train_loss: 1.3941822052001953, val_loss: 1.4288235902786255

('adam', 0.001, 50, 150)
train_loss: 1.3933626413345337, val_loss: 1.4286655187606812

('adam', 0.001, 50, 200)
train_loss: 1.3924397230148315, val_loss: 1.4285756349563599

('adam', 0.001, 100, 50)
train_loss: 1.3953030109405518, val_loss: 1.4289886951446533

('adam', 0.001, 100, 100)
train_loss: 1.394683599472046, val_loss: 1.4288890361785889

('adam', 0.001, 100, 150)
train_loss: 1.3941904306411743, val_loss: 1.428745985031128

('adam', 0.001, 100, 200)
train_loss: 1.3935610055923462, val_loss: 1.4286202192306519

('adam', 0.01, 10, 50)
train_loss: 1.3779054880142212, val_loss: 1.4259181022644043

('adam', 0.01, 10, 100)
train_loss: 1.3609364032745361, val_loss: 1.4221855401992798

('adam', 0.01, 10, 150)
train_loss: 1.3473570346832275, val_loss: 1.4182538986206055

('adam', 0.01, 10, 200)
train_loss: 1.3367598056793213, val_loss: 1.4170745611190796

('adam', 0.01, 50, 50)
train_loss: 1.388317584991455, val_loss: 1.4274519681930542

('adam', 0.01, 50, 100)
train_loss: 1.3796753883361816, val_loss: 1.4263471364974976

('adam', 0.01, 50, 150)
train_loss: 1.372178316116333, val_loss: 1.4243463277816772

('adam', 0.01, 50, 200)
train_loss: 1.3644556999206543, val_loss: 1.422107458114624

('adam', 0.01, 100, 50)
train_loss: 1.3902406692504883, val_loss: 1.4281970262527466

('adam', 0.01, 100, 100)
train_loss: 1.3851304054260254, val_loss: 1.426790475845337

('adam', 0.01, 100, 150)
train_loss: 1.3791561126708984, val_loss: 1.425310730934143

('adam', 0.01, 100, 200)
train_loss: 1.373765468597412, val_loss: 1.4246630668640137

('sgd', 0.001, 10, 50)
train_loss: 1.3959347009658813, val_loss: 1.42914617061615

('sgd', 0.001, 10, 100)
train_loss: 1.3959463834762573, val_loss: 1.429162621498108

('sgd', 0.001, 10, 150)
train_loss: 1.39592707157135, val_loss: 1.4292322397232056

('sgd', 0.001, 10, 200)
train_loss: 1.3959351778030396, val_loss: 1.429172158241272

('sgd', 0.001, 50, 50)
train_loss: 1.4009790420532227, val_loss: 1.4347628355026245

('sgd', 0.001, 50, 100)
train_loss: 1.3959088325500488, val_loss: 1.4291667938232422

('sgd', 0.001, 50, 150)
train_loss: 1.3959054946899414, val_loss: 1.429177165031433

('sgd', 0.001, 50, 200)
train_loss: 1.3959001302719116, val_loss: 1.4291611909866333

('sgd', 0.001, 100, 50)
train_loss: 1.4057061672210693, val_loss: 1.4397621154785156

('sgd', 0.001, 100, 100)
train_loss: 1.4009020328521729, val_loss: 1.4346528053283691

('sgd', 0.001, 100, 150)
train_loss: 1.3971012830734253, val_loss: 1.4304548501968384

('sgd', 0.001, 100, 200)
train_loss: 1.3958979845046997, val_loss: 1.4291644096374512

('sgd', 0.01, 10, 50)
train_loss: 1.3964996337890625, val_loss: 1.4292880296707153

('sgd', 0.01, 10, 100)
train_loss: 1.396398901939392, val_loss: 1.4293678998947144

('sgd', 0.01, 10, 150)
train_loss: 1.3964508771896362, val_loss: 1.429296851158142

('sgd', 0.01, 10, 200)
train_loss: 1.396432638168335, val_loss: 1.429986596107483

('sgd', 0.01, 50, 50)
train_loss: 1.3960727453231812, val_loss: 1.4292649030685425

('sgd', 0.01, 50, 100)
train_loss: 1.3960134983062744, val_loss: 1.4294837713241577

('sgd', 0.01, 50, 150)
train_loss: 1.3960444927215576, val_loss: 1.4292548894882202

('sgd', 0.01, 50, 200)
train_loss: 1.3959988355636597, val_loss: 1.4292150735855103

('sgd', 0.01, 100, 50)
train_loss: 1.3959534168243408, val_loss: 1.4291582107543945

('sgd', 0.01, 100, 100)
train_loss: 1.395991563796997, val_loss: 1.4291619062423706

('sgd', 0.01, 100, 150)
train_loss: 1.3960063457489014, val_loss: 1.4292055368423462

('sgd', 0.01, 100, 200)
train_loss: 1.3959615230560303, val_loss: 1.4295004606246948


---------
BEST MODEL
('adam', 0.01, 10, 200)
val_loss: 1.4170745611190796
---------
